Observation_id,Satellite,Station,Status,Status_Message,Transmitter,Frequency,Mode,Metadata,Downloads,Waterfall_Status,Polar_Plot,demods,waterfall_location,status
5125083,44352  - ARMADILLO,Lalo/Edziu XE1SPE,Bad,-100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-005120001-005130000/satnogs-observations-005125001-005126000.zip/satnogs_5125083_2021-12-11T04-03-24.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2021/12/11/4/5125083/waterfall_5125083_2021-12-11T04-03-24.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/81540da6c05bde2e67c3070cdb7ed22d3055ace80d2698e001346f794b7fa589', 'waterfall_shape': [1542, 623]}",Without Signal,"{'tle1': '1 44352U 19036P   21344.37950953  .00020371 -56165-5  19935-3 0  9994', 'tle2': '2 44352  28.5271 359.8269 0255194  79.5866 283.3386 15.31884552135952', 'timeframe-start': '2021-12-11T04:03:24+00:00', 'timeframe-end': '2021-12-11T04:06:39+00:00', 'groundstation-lat': '19.31', 'groundstation-lon': '-99.149', 'groundstation-alt': '2260'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/81540da6c05bde2e67c3070cdb7ed22d3055ace80d2698e001346f794b7fa589,0
5444344,44352  - ARMADILLO,Abraham Diaz de Leon Camou,Good,100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-005440001-005450000/satnogs-observations-005444001-005445000.zip/satnogs_5444344_2022-02-10T02-59-35.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2022/2/10/2/5444344/waterfall_5444344_2022-02-10T02-59-35.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/e1c080a9c70a2c3a813323b9fd72f14584dd4a4c0b35750f78a77c8a40daf80e', 'waterfall_shape': [1542, 623]}",With Signal,"{'tle1': '1 44352U 19036P   22040.77745810  .00103907 -36061-5  98848-3 0  9996', 'tle2': '2 44352  28.5267 297.5717 0231053  45.9169 316.0205 15.38512940145393', 'timeframe-start': '2022-02-10T02:59:35+00:00', 'timeframe-end': '2022-02-10T03:11:26+00:00', 'groundstation-lat': '17.97', 'groundstation-lon': '-92.96', 'groundstation-alt': '20'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/e1c080a9c70a2c3a813323b9fd72f14584dd4a4c0b35750f78a77c8a40daf80e,1
5578729,44352  - ARMADILLO,VK4JBE,Good,100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-005570001-005580000/satnogs-observations-005578001-005579000.zip/satnogs_5578729_2022-03-06T07-23-42.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2022/3/6/7/5578729/waterfall_5578729_2022-03-06T07-23-42.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/48e03cf212687c4ef427e2ca07bbfeade9c8b0c08d23eaa7226898ae11fdce65', 'waterfall_shape': [1542, 623]}",With Signal,"{'tle1': '1 44352U 19036P   22064.86800680  .00099594 -42316-5  87691-3 0  9999', 'tle2': '2 44352  28.5269 130.2575 0214543 318.3795  40.0654 15.43072802149117', 'timeframe-start': '2022-03-06T07:23:42+00:00', 'timeframe-end': '2022-03-06T07:26:48+00:00', 'groundstation-lat': '-27.492', 'groundstation-lon': '153.069', 'groundstation-alt': '29'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/48e03cf212687c4ef427e2ca07bbfeade9c8b0c08d23eaa7226898ae11fdce65,1
5780196,44352  - ARMADILLO,VK4JBE,Bad,-100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-005780001-005790000/satnogs-observations-005780001-005781000.zip/satnogs_5780196_2022-04-13T05-38-37.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2022/4/13/5/5780196/waterfall_5780196_2022-04-13T05-38-37.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/9e8220a692706ce3e32fdf56bc1d99e9bd4aff5482cbd8bfc3bf55fe932cad0e', 'waterfall_shape': [1542, 623]}",Without Signal,"{'tle1': '1 44352U 19036P   22102.48771614  .00134987 -19318-5  10236-2 0  9996', 'tle2': '2 44352  28.5235 226.8053 0191980  27.2925 333.7619 15.50277926154945', 'timeframe-start': '2022-04-13T05:38:37+00:00', 'timeframe-end': '2022-04-13T05:41:56+00:00', 'groundstation-lat': '-27.492', 'groundstation-lon': '153.069', 'groundstation-alt': '29'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/9e8220a692706ce3e32fdf56bc1d99e9bd4aff5482cbd8bfc3bf55fe932cad0e,0
5859801,44352  - ARMADILLO,argusnavis,Good,100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-005850001-005860000/satnogs-observations-005859001-005860000.zip/satnogs_5859801_2022-04-28T06-13-43.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2022/4/28/6/5859801/waterfall_5859801_2022-04-28T06-13-43.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/2f0058ec6e5693493254cd6c414bec56c7c8f7a0be41ebff52f01eec35eaf119', 'waterfall_shape': [1542, 623]}",With Signal,"{'tle1': '1 44352U 19036P   22117.34149295  .00126265 -26444-5  88783-3 0  9992', 'tle2': '2 44352  28.5234 121.9502 0180752 197.2926 162.1457 15.53725924157252', 'timeframe-start': '2022-04-28T06:13:43+00:00', 'timeframe-end': '2022-04-28T06:16:45+00:00', 'groundstation-lat': '28.054872', 'groundstation-lon': '-82.480784', 'groundstation-alt': '16'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/2f0058ec6e5693493254cd6c414bec56c7c8f7a0be41ebff52f01eec35eaf119,1
6067165,44352  - ARMADILLO,Abraham Diaz de Leon Camou,Good,100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-006060001-006070000/satnogs-observations-006067001-006068000.zip/satnogs_6067165_2022-06-12T00-56-43.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2022/6/12/0/6067165/waterfall_6067165_2022-06-12T00-56-43.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/017c971d4e6bf938bbda2ae08249613cc7e6d674f4e0af2101f390b57b6708cb', 'waterfall_shape': [1542, 623]}",With Signal,"{'tle1': '1 44352U 19036P   22162.65527224  .00171133  14577-5  82502-3 0  9998', 'tle2': '2 44352  28.5202 157.5578 0132197   4.5363 355.6416 15.69264320164347', 'timeframe-start': '2022-06-12T00:56:43+00:00', 'timeframe-end': '2022-06-12T01:05:37+00:00', 'groundstation-lat': '17.97', 'groundstation-lon': '-92.96', 'groundstation-alt': '20'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/017c971d4e6bf938bbda2ae08249613cc7e6d674f4e0af2101f390b57b6708cb,1
5674456,44352  - ARMADILLO,VK4JBE,Bad,-100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-005670001-005680000/satnogs-observations-005674001-005675000.zip/satnogs_5674456_2022-03-24T21-52-42.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2022/3/24/21/5674456/waterfall_5674456_2022-03-24T21-52-42.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/6a8f52e4e309dfce2391fe608d827d9f3a4447ec4f36620ae1520623832be6ff', 'waterfall_shape': [1542, 623]}",Without Signal,"{'tle1': '1 44352U 19036P   22083.08562869  .00085698 -45475-5  70307-3 0  9993', 'tle2': '2 44352  28.5266   3.0111 0203940 165.5767 195.0763 15.46376279151930', 'timeframe-start': '2022-03-24T21:52:42+00:00', 'timeframe-end': '2022-03-24T21:57:39+00:00', 'groundstation-lat': '-27.492', 'groundstation-lon': '153.069', 'groundstation-alt': '29'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/6a8f52e4e309dfce2391fe608d827d9f3a4447ec4f36620ae1520623832be6ff,0
4852172,44352  - ARMADILLO,Dimitris Papadeas,Bad,-100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-004850001-004860000/satnogs-observations-004852001-004853000.zip/satnogs_4852172_2021-10-13T06-02-55.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2021/10/13/6/4852172/waterfall_4852172_2021-10-13T06-02-55.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/c3afaa459ae7b012df8490ba07539e367c12ebdf5cf9ef31fc990520f422cdf9', 'waterfall_shape': [1542, 623]}",Without Signal,"{'tle1': '1 44352U 19036P   21285.64680704  .00077890  00000-0  90552-3 0  9995', 'tle2': '2 44352  28.5286  40.6927 0276048 147.3661 214.4319 15.26034483126957', 'timeframe-start': '2021-10-13T06:02:55+00:00', 'timeframe-end': '2021-10-13T06:06:23+00:00', 'groundstation-lat': '38.048', 'groundstation-lon': '23.739', 'groundstation-alt': '119'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/c3afaa459ae7b012df8490ba07539e367c12ebdf5cf9ef31fc990520f422cdf9,0
5232034,44352  - ARMADILLO,MAUSyagi,Bad,-100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-005230001-005240000/satnogs-observations-005232001-005233000.zip/satnogs_5232034_2022-01-01T17-27-46.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2022/1/1/17/5232034/waterfall_5232034_2022-01-01T17-27-46.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/66f1a414d73a571e58ddbf1c3dca92407dbbfadf0736cb22da3ccd80311cd3fa', 'waterfall_shape': [1542, 623]}",Without Signal,"{'tle1': '1 44352U 19036P   21365.93234984  .00034289 -60538-5  34003-3 0  9993', 'tle2': '2 44352  28.5271 211.9987 0248999 319.9898  38.2596 15.33458789139267', 'timeframe-start': '2022-01-01T17:27:46+00:00', 'timeframe-end': '2022-01-01T17:30:52+00:00', 'groundstation-lat': '42.288', 'groundstation-lon': '-73.32', 'groundstation-alt': '300'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/66f1a414d73a571e58ddbf1c3dca92407dbbfadf0736cb22da3ccd80311cd3fa,0
6375916,44352  - ARMADILLO,Augusto Parra,Bad,-100,"GFSK
            19200","437,522,700Hz",,,"{'audio': 'https://archive.org/download/satnogs-observations-006370001-006380000/satnogs-observations-006375001-006376000.zip/satnogs_6375916_2022-08-23T23-45-23.ogg', 'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2022/8/23/23/6375916/waterfall_6375916_2022-08-23T23-45-23.png', 'waterfall_hash_name': '/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/dc0e6153007d0141900d800966511d5cd34dc82648998963129f3ea7f433a5e5', 'waterfall_shape': [1542, 623]}",Without Signal,"{'tle1': '1 44352U 19036P   22234.47352351  .03168495 -75096-5  89786-3 0  9990', 'tle2': '2 44352  28.5117 344.9003 0019301 133.4731 226.7498 16.25866192175752', 'timeframe-start': '2022-08-23T23:45:23+00:00', 'timeframe-end': '2022-08-23T23:48:58+00:00', 'groundstation-lat': '-26.81554', 'groundstation-lon': '-65.29032', 'groundstation-alt': '491'}",[],/home/maple/CodeProjects/satnogs-cnn/satnogs-data/observations/waterfalls/dc0e6153007d0141900d800966511d5cd34dc82648998963129f3ea7f433a5e5,0
